[18:27:54] junt.c:70> t: 1586264273391, x: 978, y: 92, z: 145
[18:27:54] junt.c:70> t: 1586264273511, x: 981, y: 83, z: 148
[18:27:54] junt.c:70> t: 1586264273631, x: 984, y: 80, z: 154
[18:27:54] junt.c:70> t: 1586264273751, x: 982, y: 79, z: 142
[18:27:54] junt.c:70> t: 1586264273871, x: 982, y: 75, z: 146
[18:27:54] junt.c:70> t: 1586264273991, x: 980, y: 81, z: 146
[18:27:54] junt.c:70> t: 1586264274111, x: 980, y: 81, z: 153
[18:27:54] junt.c:70> t: 1586264274231, x: 782, y: 1106, z: 572
[18:27:54] junt.c:70> t: 1586264274349, x: 795, y: 891, z: -502
[18:27:55] junt.c:70> t: 1586264274472, x: 899, y: 791, z: 146
[18:27:55] junt.c:70> t: 1586264274593, x: 981, y: 84, z: 140
[18:27:55] junt.c:70> t: 1586264274714, x: 982, y: 82, z: 142
[18:27:55] junt.c:70> t: 1586264274835, x: 983, y: 79, z: 148
[18:27:55] junt.c:70> t: 1586264274957, x: 979, y: 80, z: 149
[18:27:55] junt.c:70> t: 1586264275074, x: 983, y: 78, z: 144
[18:27:55] junt.c:70> t: 1586264275195, x: 982, y: 78, z: 145
[18:27:55] junt.c:70> t: 1586264275316, x: 984, y: 81, z: 147
[18:27:55] junt.c:70> t: 1586264275437, x: 983, y: 81, z: 141
[18:27:55] junt.c:70> t: 1586264275558, x: 980, y: 76, z: 149
[18:27:56] junt.c:70> t: 1586264275679, x: 982, y: 77, z: 146
[18:27:56] junt.c:70> t: 1586264275800, x: 981, y: 81, z: 146
[18:27:56] junt.c:70> t: 1586264275921, x: 980, y: 83, z: 142
[18:27:56] junt.c:70> t: 1586264276043, x: 984, y: 82, z: 146
[18:27:56] junt.c:70> t: 1586264276164, x: 985, y: 77, z: 147
[18:27:56] junt.c:70> t: 1586264276281, x: 978, y: 80, z: 145
[18:27:56] junt.c:70> t: 1586264276406, x: 979, y: 86, z: 145
[18:27:56] junt.c:70> t: 1586264276523, x: 981, y: 76, z: 143
[18:27:57] junt.c:70> t: 1586264276644, x: 980, y: 85, z: 144
[18:27:57] junt.c:70> t: 1586264276765, x: 985, y: 88, z: 146
[18:27:57] junt.c:70> t: 1586264276886, x: 987, y: 74, z: 156
[18:27:57] junt.c:70> t: 1586264277007, x: 980, y: 77, z: 149
[18:27:57] junt.c:70> t: 1586264277128, x: 986, y: 77, z: 147
[18:27:57] junt.c:70> t: 1586264277250, x: 1017, y: 79, z: 161
[18:27:57] junt.c:70> t: 1586264277371, x: 987, y: 80, z: 171
