FAST 30 jumps
[18:45:13] junt.c:70> t: 1586265313463, x: 974, y: 13, z: 230
[18:45:14] junt.c:70> t: 1586265313585, x: 968, y: 14, z: 226
[18:45:14] junt.c:70> t: 1586265313706, x: 971, y: 18, z: 224
[18:45:14] junt.c:70> t: 1586265313827, x: 973, y: 15, z: 222
[18:45:14] junt.c:70> t: 1586265313948, x: 972, y: 20, z: 224
[18:45:14] junt.c:70> t: 1586265314065, x: 975, y: 15, z: 224
[18:45:14] junt.c:70> t: 1586265314186, x: 974, y: 15, z: 231
[18:45:14] junt.c:70> t: 1586265314307, x: 972, y: 19, z: 224
[18:45:14] junt.c:70> t: 1586265314428, x: 974, y: 17, z: 227
[18:45:15] junt.c:70> t: 1586265314549, x: 970, y: 17, z: 224
[18:45:15] junt.c:70> t: 1586265314670, x: 964, y: 16, z: 231
[18:45:15] junt.c:70> t: 1586265314792, x: 969, y: 19, z: 222
[18:45:15] junt.c:70> t: 1586265314913, x: 975, y: 18, z: 221
[18:45:15] junt.c:70> t: 1586265315034, x: 965, y: 12, z: 231
[18:45:15] junt.c:70> t: 1586265315155, x: 968, y: 22, z: 227
[18:45:15] junt.c:70> t: 1586265315276, x: 974, y: 19, z: 220
[18:45:15] junt.c:70> t: 1586265315393, x: 974, y: 13, z: 226
[18:45:15] junt.c:70> t: 1586265315514, x: 977, y: 22, z: 216
[18:45:16] junt.c:70> t: 1586265315635, x: 969, y: 23, z: 223
[18:45:16] junt.c:70> t: 1586265315756, x: 965, y: 18, z: 224
[18:45:16] junt.c:70> t: 1586265315878, x: 970, y: 16, z: 220
[18:45:16] junt.c:70> t: 1586265315999, x: 975, y: 16, z: 220
[18:45:16] junt.c:70> t: 1586265316120, x: 971, y: 16, z: 221
[18:45:16] junt.c:70> t: 1586265316241, x: 977, y: 11, z: 226
[18:45:16] junt.c:70> t: 1586265316362, x: 974, y: 6, z: 230
[18:45:17] junt.c:70> t: 1586265316479, x: 969, y: 3, z: 226
[18:45:17] junt.c:70> t: 1586265316600, x: 972, y: 10, z: 228
[18:45:17] junt.c:70> t: 1586265316721, x: 967, y: 11, z: 221
[18:45:17] junt.c:70> t: 1586265316842, x: 955, y: 7, z: 267
[18:45:17] junt.c:70> t: 1586265316963, x: 985, y: 42, z: 238
[18:45:17] junt.c:70> t: 1586265317085, x: 971, y: 43, z: 224
[18:45:17] junt.c:70> t: 1586265317206, x: 969, y: 27, z: 240
[18:45:17] junt.c:70> t: 1586265317327, x: 971, y: 27, z: 226
[18:45:17] junt.c:70> t: 1586265317448, x: 988, y: 25, z: 187
[18:45:17] junt.c:70> t: 1586265317569, x: 973, y: -24, z: 158
[18:45:18] junt.c:70> t: 1586265317686, x: 985, y: -25, z: 134
[18:45:18] junt.c:70> t: 1586265317807, x: 1004, y: -16, z: 106
[18:45:18] junt.c:70> t: 1586265317928, x: 1034, y: -39, z: 114
[18:45:18] junt.c:70> t: 1586265318049, x: 1072, y: -29, z: 64
[18:45:18] junt.c:70> t: 1586265318170, x: 850, y: -463, z: -174
[18:45:18] junt.c:70> t: 1586265318292, x: 1068, y: -62, z: -66
[18:45:18] junt.c:70> t: 1586265318413, x: 1012, y: 196, z: -23
[18:45:18] junt.c:70> t: 1586265318534, x: 1097, y: -399, z: 89
[18:45:19] junt.c:70> t: 1586265318655, x: 986, y: -46, z: 177
[18:45:19] junt.c:70> t: 1586265318772, x: 987, y: -72, z: 184
[18:45:19] junt.c:70> t: 1586265318893, x: 986, y: -15, z: 198
[18:45:19] junt.c:70> t: 1586265319014, x: 974, y: -56, z: 193
[18:45:19] junt.c:70> t: 1586265319135, x: 987, y: -27, z: 201
[18:45:19] junt.c:70> t: 1586265319256, x: 1009, y: 10, z: 218
[18:45:19] junt.c:70> t: 1586265319377, x: 1174, y: 96, z: -56
[18:45:20] junt.c:70> t: 1586265319499, x: 899, y: 209, z: 265
[18:45:20] junt.c:70> t: 1586265319620, x: 715, y: -113, z: -32
[18:45:20] junt.c:70> t: 1586265319741, x: 1055, y: -11, z: -176
[18:45:20] junt.c:70> t: 1586265319862, x: 1160, y: 47, z: -67
[18:45:20] junt.c:70> t: 1586265319979, x: 1002, y: 231, z: 21
[18:45:20] junt.c:70> t: 1586265320103, x: 984, y: -99, z: 5
[18:45:20] junt.c:70> t: 1586265320221, x: 990, y: -82, z: 30
[18:45:20] junt.c:70> t: 1586265320342, x: 996, y: -91, z: 126
[18:45:20] junt.c:70> t: 1586265320463, x: 975, y: -62, z: 168
[18:45:21] junt.c:70> t: 1586265320585, x: 1000, y: -42, z: 209
[18:45:21] junt.c:70> t: 1586265320706, x: 969, y: -8, z: 187
[18:45:21] junt.c:70> t: 1586265320827, x: 982, y: -17, z: 184
[18:45:21] junt.c:70> t: 1586265320948, x: 994, y: 3, z: 205
[18:45:21] junt.c:70> t: 1586265321065, x: 973, y: 79, z: 150
[18:45:21] junt.c:70> t: 1586265321186, x: 986, y: 36, z: 150
[18:45:21] junt.c:70> t: 1586265321307, x: 992, y: 53, z: 145
[18:45:21] junt.c:70> t: 1586265321428, x: 968, y: 94, z: 170
[18:45:22] junt.c:70> t: 1586265321549, x: 930, y: 143, z: 226
[18:45:22] junt.c:70> t: 1586265321670, x: 1013, y: 207, z: 169
[18:45:22] junt.c:70> t: 1586265321791, x: 1682, y: 264, z: 309
[18:45:22] junt.c:70> t: 1586265321913, x: 297, y: 437, z: 356
