31 Jumps FAST
[18:50:04] junt.c:70> t: 1586265603753, x: 820, y: -138, z: 562
[18:50:04] junt.c:70> t: 1586265603870, x: 823, y: -140, z: 558
[18:50:04] junt.c:70> t: 1586265603990, x: 822, y: -132, z: 562
[18:50:04] junt.c:70> t: 1586265604112, x: 820, y: -133, z: 560
[18:50:04] junt.c:70> t: 1586265604233, x: 821, y: -139, z: 566
[18:50:04] junt.c:70> t: 1586265604354, x: 820, y: -137, z: 568
[18:50:04] junt.c:70> t: 1586265604475, x: 820, y: -138, z: 563
[18:50:05] junt.c:70> t: 1586265604596, x: 823, y: -138, z: 564
[18:50:05] junt.c:70> t: 1586265604717, x: 817, y: -141, z: 562
[18:50:05] junt.c:70> t: 1586265604835, x: 821, y: -140, z: 567
[18:50:05] junt.c:70> t: 1586265604956, x: 816, y: -136, z: 560
[18:50:05] junt.c:70> t: 1586265605077, x: 823, y: -142, z: 565
[18:50:05] junt.c:70> t: 1586265605198, x: 832, y: -146, z: 563
[18:50:05] junt.c:70> t: 1586265605319, x: 812, y: -136, z: 569
[18:50:05] junt.c:70> t: 1586265605440, x: 836, y: -148, z: 556
[18:50:06] junt.c:70> t: 1586265605560, x: 831, y: -151, z: 548
[18:50:06] junt.c:70> t: 1586265605682, x: 853, y: -153, z: 563
[18:50:06] junt.c:70> t: 1586265605803, x: 841, y: -157, z: 560
[18:50:06] junt.c:70> t: 1586265605920, x: 818, y: -244, z: 476
[18:50:06] junt.c:70> t: 1586265606042, x: 841, y: -176, z: 486
[18:50:06] junt.c:70> t: 1586265606162, x: 844, y: -83, z: 443
[18:50:06] junt.c:70> t: 1586265606284, x: 848, y: -121, z: 448
[18:50:06] junt.c:70> t: 1586265606405, x: 930, y: -120, z: 438
[18:50:06] junt.c:70> t: 1586265606526, x: 946, y: -146, z: 374
[18:50:07] junt.c:70> t: 1586265606647, x: 923, y: -102, z: 333
[18:50:07] junt.c:70> t: 1586265606767, x: 909, y: -33, z: 308
[18:50:07] junt.c:70> t: 1586265606885, x: 896, y: -21, z: 306
[18:50:07] junt.c:70> t: 1586265607006, x: 921, y: 34, z: 349
[18:50:07] junt.c:70> t: 1586265607128, x: 837, y: 43, z: 421
[18:50:07] junt.c:70> t: 1586265607249, x: 948, y: 27, z: 392
[18:50:07] junt.c:70> t: 1586265607370, x: 941, y: 25, z: 367
[18:50:08] junt.c:70> t: 1586265607491, x: 950, y: 37, z: 336
[18:50:08] junt.c:70> t: 1586265607612, x: 976, y: 26, z: 261
[18:50:08] junt.c:70> t: 1586265607733, x: 984, y: 49, z: 221
[18:50:08] junt.c:70> t: 1586265607850, x: 1065, y: 27, z: 194
[18:50:08] junt.c:70> t: 1586265607971, x: 975, y: 39, z: 83
[18:50:08] junt.c:70> t: 1586265608092, x: 923, y: 7, z: 137
[18:50:08] junt.c:70> t: 1586265608213, x: 923, y: -156, z: 36
[18:50:08] junt.c:70> t: 1586265608335, x: 1071, y: 59, z: 155
[18:50:08] junt.c:70> t: 1586265608456, x: 980, y: 80, z: 120
[18:50:09] junt.c:70> t: 1586265608577, x: 986, y: -106, z: 78
[18:50:09] junt.c:70> t: 1586265608698, x: 961, y: -36, z: 171
[18:50:09] junt.c:70> t: 1586265608815, x: 986, y: -50, z: 193
[18:50:09] junt.c:70> t: 1586265608936, x: 991, y: -49, z: 245
[18:50:09] junt.c:70> t: 1586265609056, x: 963, y: -39, z: 225
[18:50:09] junt.c:70> t: 1586265609177, x: 981, y: -23, z: 211
[18:50:09] junt.c:70> t: 1586265609299, x: 975, y: -10, z: 207
[18:50:09] junt.c:70> t: 1586265609420, x: 991, y: 16, z: 210
[18:50:09] junt.c:70> t: 1586265609542, x: 1071, y: 47, z: 198
[18:50:10] junt.c:70> t: 1586265609659, x: 1050, y: 50, z: -81
[18:50:10] junt.c:70> t: 1586265609784, x: 986, y: 144, z: 150
[18:50:10] junt.c:70> t: 1586265609901, x: 656, y: -186, z: 94
[18:50:10] junt.c:70> t: 1586265610022, x: 999, y: -190, z: -23
[18:50:10] junt.c:70> t: 1586265610143, x: 1259, y: 101, z: -24
[18:50:10] junt.c:70> t: 1586265610264, x: 982, y: 307, z: -159
[18:50:10] junt.c:70> t: 1586265610385, x: 1073, y: -25, z: 10
[18:50:10] junt.c:70> t: 1586265610506, x: 972, y: -77, z: 109
[18:50:11] junt.c:70> t: 1586265610627, x: 980, y: -75, z: 189
[18:50:11] junt.c:70> t: 1586265610745, x: 980, y: -33, z: 182
[18:50:11] junt.c:70> t: 1586265610866, x: 974, y: -37, z: 183
[18:50:11] junt.c:70> t: 1586265610987, x: 976, y: 7, z: 210
[18:50:11] junt.c:70> t: 1586265611108, x: 987, y: 18, z: 176
[18:50:11] junt.c:70> t: 1586265611229, x: 985, y: 88, z: 138
[18:50:11] junt.c:70> t: 1586265611350, x: 941, y: 94, z: 151
[18:50:11] junt.c:70> t: 1586265611471, x: 1052, y: 138, z: 203
[18:50:12] junt.c:70> t: 1586265611592, x: 1205, y: 419, z: 310
[18:50:12] junt.c:70> t: 1586265611710, x: 367, y: 199, z: 17
[18:50:12] junt.c:70> t: 1586265611831, x: -22, y: -101, z: 45
[18:50:12] junt.c:70> t: 1586265611952, x: 2431, y: -369, z: 708
[18:50:12] junt.c:70> t: 1586265612073, x: 991, y: -387, z: 69
[18:50:12] junt.c:70> t: 1586265612192, x: 121, y: 158, z: 317
[18:50:12] junt.c:70> t: 1586265612315, x: 2592, y: -160, z: 1036
[18:50:12] junt.c:70> t: 1586265612436, x: 782, y: -57, z: 319
[18:50:13] junt.c:70> t: 1586265612553, x: -71, y: 105, z: 151
[18:50:13] junt.c:70> t: 1586265612674, x: 2799, y: 136, z: 1267
[18:50:13] junt.c:70> t: 1586265612795, x: 47, y: 630, z: 841
[18:50:13] junt.c:70> t: 1586265612917, x: 37, y: 537, z: 207
[18:50:13] junt.c:70> t: 1586265613038, x: 2550, y: 5, z: -18
[18:50:13] junt.c:70> t: 1586265613159, x: -5, y: -169, z: 83
[18:50:13] junt.c:70> t: 1586265613280, x: 2244, y: 1259, z: -311
[18:50:13] junt.c:70> t: 1586265613401, x: 1702, y: -148, z: -149
[18:50:14] junt.c:70> t: 1586265613522, x: -100, y: -420, z: -372
[18:50:14] junt.c:70> t: 1586265613639, x: 2840, y: -319, z: 405
[18:50:14] junt.c:70> t: 1586265613760, x: 568, y: 2135, z: 927
[18:50:14] junt.c:70> t: 1586265613881, x: 260, y: 536, z: -400
[18:50:14] junt.c:70> t: 1586265614003, x: 2587, y: 363, z: -492
[18:50:14] junt.c:70> t: 1586265614124, x: -16, y: -225, z: 156
[18:50:15] junt.c:70> t: 1586265614245, x: 2366, y: 1246, z: 216
[18:50:15] junt.c:70> t: 1586265614366, x: 626, y: 83, z: 29
[18:50:15] junt.c:70> t: 1586265614487, x: 124, y: 985, z: 216
[18:50:15] junt.c:70> t: 1586265614604, x: 2759, y: -52, z: 827
[18:50:15] junt.c:70> t: 1586265614725, x: 127, y: -131, z: -170
[18:50:15] junt.c:70> t: 1586265614846, x: -180, y: 1671, z: -526
[18:50:15] junt.c:70> t: 1586265614967, x: 3004, y: -836, z: -287
[18:50:15] junt.c:70> t: 1586265615088, x: 325, y: 452, z: 112
[18:50:15] junt.c:70> t: 1586265615210, x: 2281, y: 92, z: 1327
[18:50:15] junt.c:70> t: 1586265615331, x: 304, y: 633, z: 514
[18:50:15] junt.c:70> t: 1586265615448, x: 59, y: 179, z: -84
[18:50:16] junt.c:70> t: 1586265615569, x: 2603, y: 114, z: -127
[18:50:16] junt.c:70> t: 1586265615690, x: -168, y: -587, z: -326
[18:50:16] junt.c:70> t: 1586265615811, x: 151, y: -783, z: 84
[18:50:16] junt.c:70> t: 1586265615932, x: 2531, y: -671, z: -279
[18:50:16] junt.c:70> t: 1586265616053, x: 198, y: 517, z: 500
[18:50:16] junt.c:70> t: 1586265616174, x: 1699, y: -1775, z: 656
[18:50:16] junt.c:70> t: 1586265616295, x: -157, y: 880, z: 752
[18:50:16] junt.c:70> t: 1586265616413, x: 120, y: 520, z: -37
[18:50:17] junt.c:70> t: 1586265616534, x: 2570, y: 227, z: 347
[18:50:17] junt.c:70> t: 1586265616655, x: 318, y: 117, z: 455
[18:50:17] junt.c:70> t: 1586265616776, x: 99, y: 158, z: -277
[18:50:17] junt.c:70> t: 1586265616897, x: 2839, y: 33, z: -308
[18:50:17] junt.c:70> t: 1586265617018, x: -90, y: -128, z: 81
[18:50:17] junt.c:70> t: 1586265617135, x: 956, y: -1438, z: 1077
[18:50:17] junt.c:70> t: 1586265617256, x: 1208, y: -10, z: -177
[18:50:18] junt.c:70> t: 1586265617378, x: -34, y: 89, z: 72
[18:50:18] junt.c:70> t: 1586265617499, x: 2442, y: -227, z: 1163
[18:50:18] junt.c:70> t: 1586265617620, x: 275, y: 133, z: 246
[18:50:18] junt.c:70> t: 1586265617741, x: -7, y: 406, z: 121
[18:50:18] junt.c:70> t: 1586265617862, x: 2301, y: 169, z: 605
[18:50:18] junt.c:70> t: 1586265617983, x: 180, y: -313, z: -201
[18:50:18] junt.c:70> t: 1586265618104, x: -13, y: 1635, z: -214
[18:50:18] junt.c:70> t: 1586265618221, x: 3161, y: -272, z: -802
[18:50:18] junt.c:70> t: 1586265618342, x: 266, y: 373, z: 619
[18:50:18] junt.c:70> t: 1586265618463, x: 2764, y: -835, z: -758
[18:50:18] junt.c:70> t: 1586265618585, x: 627, y: -78, z: 134
[18:50:19] junt.c:70> t: 1586265618705, x: 253, y: 394, z: 346
[18:50:19] junt.c:70> t: 1586265618827, x: 2392, y: 295, z: 1184
[18:50:19] junt.c:70> t: 1586265618948, x: 397, y: 638, z: 499
[18:50:19] junt.c:70> t: 1586265619069, x: -154, y: 435, z: 260
[18:50:19] junt.c:70> t: 1586265619186, x: 1974, y: 346, z: 447
[18:50:19] junt.c:70> t: 1586265619307, x: 251, y: 176, z: 90
[18:50:19] junt.c:70> t: 1586265619428, x: 5, y: 237, z: -73
[18:50:19] junt.c:70> t: 1586265619549, x: 2835, y: 58, z: 28
[18:50:20] junt.c:70> t: 1586265619670, x: -40, y: -233, z: 382
[18:50:20] junt.c:70> t: 1586265619792, x: 1799, y: -405, z: -202
[18:50:20] junt.c:70> t: 1586265619913, x: 2021, y: -398, z: -239
[18:50:20] junt.c:70> t: 1586265620030, x: -50, y: -331, z: 284
[18:50:20] junt.c:70> t: 1586265620151, x: 1444, y: -1916, z: -481
[18:50:20] junt.c:70> t: 1586265620272, x: 1327, y: -255, z: -298
[18:50:20] junt.c:70> t: 1586265620393, x: 308, y: 422, z: 415
[18:50:21] junt.c:70> t: 1586265620514, x: 1857, y: 303, z: 668
[18:50:21] junt.c:70> t: 1586265620635, x: 165, y: 469, z: 625
[18:50:21] junt.c:70> t: 1586265620753, x: 142, y: 613, z: 370
[18:50:21] junt.c:70> t: 1586265620878, x: 2645, y: -1125, z: 432
[18:50:21] junt.c:70> t: 1586265620995, x: 195, y: 1157, z: 957
[18:50:21] junt.c:70> t: 1586265621116, x: 293, y: 385, z: -224
[18:50:21] junt.c:70> t: 1586265621237, x: 2390, y: 147, z: 1111
[18:50:21] junt.c:70> t: 1586265621358, x: 73, y: 1775, z: 1027
[18:50:21] junt.c:70> t: 1586265621479, x: 328, y: 844, z: 284
[18:50:22] junt.c:70> t: 1586265621600, x: 2051, y: 98, z: 1512
[18:50:22] junt.c:70> t: 1586265621717, x: 618, y: 991, z: 626
[18:50:22] junt.c:70> t: 1586265621838, x: 149, y: -703, z: 186
[18:50:22] junt.c:70> t: 1586265621960, x: 2028, y: -938, z: 201
[18:50:22] junt.c:70> t: 1586265622081, x: 1422, y: 656, z: -447
[18:50:22] junt.c:70> t: 1586265622202, x: 590, y: -6, z: 292
[18:50:22] junt.c:70> t: 1586265622323, x: 931, y: 168, z: 85
[18:50:22] junt.c:70> t: 1586265622444, x: 1283, y: -72, z: 152
[18:50:22] junt.c:70> t: 1586265622565, x: 860, y: 149, z: -24
[18:50:23] junt.c:70> t: 1586265622682, x: 1016, y: 5, z: 147
[18:50:23] junt.c:70> t: 1586265622803, x: 1028, y: 60, z: 55
[18:50:23] junt.c:70> t: 1586265622924, x: 951, y: 61, z: 35
[18:50:23] junt.c:70> t: 1586265623045, x: 989, y: 36, z: 119
[18:50:23] junt.c:70> t: 1586265623167, x: 1011, y: 46, z: 75
[18:50:23] junt.c:70> t: 1586265623288, x: 969, y: 52, z: 87
[18:50:23] junt.c:70> t: 1586265623409, x: 1009, y: 0, z: 82
[18:50:23] junt.c:70> t: 1586265623530, x: 997, y: 15, z: 95
[18:50:24] junt.c:70> t: 1586265623647, x: 988, y: -8, z: 80
[18:50:24] junt.c:70> t: 1586265623768, x: 991, y: -3, z: 62
[18:50:24] junt.c:70> t: 1586265623889, x: 992, y: 19, z: 63
[18:50:24] junt.c:70> t: 1586265624010, x: 1001, y: 293, z: 68
[18:50:24] junt.c:70> t: 1586265624131, x: 1008, y: 149, z: 28
[18:50:24] junt.c:70> t: 1586265624253, x: 998, y: -46, z: 54
[18:50:24] junt.c:70> t: 1586265624374, x: 950, y: -87, z: 238
[18:50:24] junt.c:70> t: 1586265624491, x: 941, y: -61, z: 234
[18:50:25] junt.c:70> t: 1586265624612, x: 1144, y: 35, z: -195
[18:50:25] junt.c:70> t: 1586265624733, x: 975, y: -83, z: 191
[18:50:25] junt.c:70> t: 1586265624854, x: 978, y: -42, z: 190
[18:50:25] junt.c:70> t: 1586265624975, x: 993, y: 18, z: 186
[18:50:25] junt.c:70> t: 1586265625096, x: 965, y: -19, z: 243
[18:50:26] junt.c:70> t: 1586265625217, x: 979, y: 2, z: 282
[18:50:26] junt.c:70> t: 1586265625338, x: 983, y: 56, z: 258
[18:50:26] junt.c:70> t: 1586265625456, x: 947, y: 77, z: 292
[18:50:26] junt.c:70> t: 1586265625576, x: 1149, y: 179, z: 152
[18:50:26] junt.c:70> t: 1586265625698, x: 844, y: 513, z: 407
[18:50:26] junt.c:70> t: 1586265625819, x: 712, y: -169, z: -248
[18:50:26] junt.c:70> t: 1586265625940, x: 1202, y: 2, z: -374
[18:50:26] junt.c:70> t: 1586265626061, x: 1426, y: 322, z: -26
[18:50:26] junt.c:70> t: 1586265626182, x: 950, y: 661, z: -88
[18:50:26] junt.c:70> t: 1586265626299, x: 647, y: -139, z: 119
[18:50:26] junt.c:70> t: 1586265626420, x: 952, y: -156, z: 195
[18:50:26] junt.c:70> t: 1586265626542, x: 981, y: -104, z: 274
[18:50:27] junt.c:70> t: 1586265626663, x: 957, y: -70, z: 268
[18:50:27] junt.c:70> t: 1586265626784, x: 1005, y: -67, z: 252
[18:50:27] junt.c:70> t: 1586265626905, x: 978, y: 80, z: 217
[18:50:27] junt.c:70> t: 1586265627026, x: 960, y: 122, z: 225
[18:50:27] junt.c:70> t: 1586265627147, x: 1173, y: 126, z: 215
[18:50:27] junt.c:70> t: 1586265627264, x: 916, y: 191, z: 187
[18:50:27] junt.c:70> t: 1586265627385, x: 733, y: 572, z: 528
[18:50:28] junt.c:70> t: 1586265627506, x: 662, y: -133, z: 300
[18:50:28] junt.c:70> t: 1586265627628, x: 1208, y: 294, z: -369
[18:50:28] junt.c:70> t: 1586265627749, x: 1079, y: -320, z: -590
[18:50:28] junt.c:70> t: 1586265627870, x: 1015, y: -58, z: 278
