THE DATA IS FAULTY, THE PEBBLE STOPPED LOGGING FOR SOME MS, HENCE THE RECORDED COUNT OF READING IS AROUND 10
[18:37:10] junt.c:70> t: 1586264830116, x: 864, y: -248, z: 441
[18:37:10] junt.c:70> t: 1586264830233, x: 859, y: -241, z: 449
[18:37:10] junt.c:70> t: 1586264830358, x: 863, y: -240, z: 452
[18:37:10] junt.c:70> t: 1586264830475, x: 860, y: -236, z: 448
[18:37:11] junt.c:70> t: 1586264830596, x: 860, y: -240, z: 450
[18:37:11] junt.c:70> t: 1586264830717, x: 863, y: -240, z: 450
[18:37:11] junt.c:70> t: 1586264830837, x: 862, y: -241, z: 454
[18:37:11] junt.c:70> t: 1586264830960, x: 859, y: -238, z: 453
[18:37:11] junt.c:70> t: 1586264831081, x: 862, y: -235, z: 444
[18:37:11] junt.c:70> t: 1586264831202, x: 875, y: -245, z: 447
[18:37:11] junt.c:70> t: 1586264831322, x: 865, y: -243, z: 462
[18:37:11] junt.c:70> t: 1586264831444, x: 859, y: -237, z: 450
[18:37:11] junt.c:70> t: 1586264831561, x: 866, y: -253, z: 442
[18:37:12] junt.c:70> t: 1586264831682, x: 848, y: -254, z: 458
[18:37:12] junt.c:70> t: 1586264831803, x: 857, y: -249, z: 455
[18:37:12] junt.c:70> t: 1586264831923, x: 880, y: -257, z: 426
[18:37:12] junt.c:70> t: 1586264832045, x: 894, y: -371, z: 409
[18:37:12] junt.c:70> t: 1586264832167, x: 874, y: -312, z: 363
[18:37:12] junt.c:70> t: 1586264832288, x: 843, y: -295, z: 386
[18:37:12] junt.c:70> t: 1586264832409, x: 867, y: -223, z: 348
[18:37:13] junt.c:70> t: 1586264832530, x: 883, y: -249, z: 393
[18:37:13] junt.c:70> t: 1586264832651, x: 891, y: -293, z: 364
[18:37:13] junt.c:70> t: 1586264832772, x: 911, y: -333, z: 318
[18:37:13] junt.c:70> t: 1586264832892, x: 923, y: -318, z: 281
[18:37:13] junt.c:70> t: 1586264833010, x: 925, y: -263, z: 278
[18:37:13] junt.c:70> t: 1586264833131, x: 941, y: -226, z: 280
[18:37:13] junt.c:70> t: 1586264833253, x: 926, y: -224, z: 270
[18:37:14] junt.c:70> t: 1586264833374, x: 958, y: -209, z: 282
[18:37:14] junt.c:70> t: 1586264833495, x: 937, y: -183, z: 293
[18:37:14] junt.c:70> t: 1586264833616, x: 906, y: -194, z: 305
[18:37:14] junt.c:70> t: 1586264833737, x: 917, y: -195, z: 294
[18:37:15] junt.c:70> t: 1586264833858, x: 966, y: -172, z: 286
[18:37:15] junt.c:70> t: 1586264833975, x: 973, y: -116, z: 290
[18:37:15] junt.c:70> t: 1586264834095, x: 952, y: -70, z: 275
[18:37:16] junt.c:70> t: 1586264834217, x: 920, y: -56, z: 296
[18:37:16] junt.c:70> t: 1586264834338, x: 955, y: -82, z: 289
[18:37:16] junt.c:70> t: 1586264834460, x: 1004, y: -39, z: 253
[18:37:16] junt.c:70> t: 1586264834581, x: 925, y: 18, z: 253
[18:37:17] junt.c:70> t: 1586264834702, x: 921, y: 52, z: 255
[18:37:17] junt.c:70> t: 1586264834823, x: 926, y: -62, z: 284
[18:37:17] junt.c:70> t: 1586264834943, x: 919, y: 40, z: 197
[18:37:18] junt.c:70> t: 1586264835061, x: 986, y: 70, z: 301
[18:37:18] junt.c:70> t: 1586264835182, x: 967, y: 47, z: 305
[18:37:18] junt.c:70> t: 1586264835303, x: 971, y: 70, z: 264
[18:37:18] junt.c:70> t: 1586264835424, x: 963, y: 68, z: 238
[18:37:18] junt.c:70> t: 1586264835545, x: 984, y: 42, z: 209
[18:37:18] junt.c:70> t: 1586264835667, x: 1039, y: 13, z: 198
[18:37:18] junt.c:70> t: 1586264835788, x: 986, y: -1, z: 145
[18:37:18] junt.c:70> t: 1586264835909, x: 753, y: -427, z: 68
[18:37:19] junt.c:70> t: 1586264836029, x: 1085, y: 31, z: 56
[18:37:19] junt.c:70> t: 1586264836147, x: 1009, y: 206, z: -153
[18:37:19] junt.c:70> t: 1586264836268, x: 1015, y: 125, z: 2
[18:37:21] junt.c:70> t: 1586264836389, x: 931, y: -6, z: 290
[18:37:21] junt.c:70> t: 1586264836510, x: 969, y: -41, z: 231
[18:37:21] junt.c:70> t: 1586264836631, x: 967, y: -51, z: 236
[18:37:21] junt.c:70> t: 1586264836752, x: 961, y: -48, z: 221
[18:37:21] junt.c:70> t: 1586264836874, x: 1018, y: 43, z: 227
[18:37:21] junt.c:70> t: 1586264836995, x: 984, y: -52, z: 216
[18:37:21] junt.c:70> t: 1586264837116, x: 988, y: 1, z: 213
[18:37:21] junt.c:70> t: 1586264837233, x: 1178, y: 48, z: 209
[18:37:21] junt.c:70> t: 1586264837354, x: 1109, y: 101, z: 116
[18:37:23] junt.c:70> t: 1586264837475, x: 885, y: 358, z: 296
[18:37:23] junt.c:70> t: 1586264837596, x: 606, y: -139, z: -86
[18:37:23] junt.c:70> t: 1586264837716, x: 1114, y: 129, z: -184
[18:37:23] junt.c:70> t: 1586264837838, x: 1247, y: 397, z: -18
[18:37:23] junt.c:70> t: 1586264837960, x: 1016, y: 431, z: 18
[18:37:23] junt.c:70> t: 1586264838081, x: 1004, y: 21, z: 316
[18:37:23] junt.c:70> t: 1586264838202, x: 982, y: -105, z: 125
[18:37:23] junt.c:70> t: 1586264838323, x: 978, y: -65, z: 117
[18:37:25] junt.c:70> t: 1586264838440, x: 996, y: -45, z: 189
[18:37:25] junt.c:70> t: 1586264838565, x: 984, y: -37, z: 188
[18:37:25] junt.c:70> t: 1586264838682, x: 980, y: -60, z: 213
[18:37:25] junt.c:70> t: 1586264838802, x: 977, y: -35, z: 195
[18:37:25] junt.c:70> t: 1586264838924, x: 987, y: -25, z: 172
[18:37:25] junt.c:70> t: 1586264839045, x: 973, y: -9, z: 181
[18:37:25] junt.c:70> t: 1586264839167, x: 944, y: -95, z: 186
[18:37:25] junt.c:70> t: 1586264839288, x: 937, y: 281, z: 198
[18:37:27] junt.c:70> t: 1586264839409, x: 1514, y: 433, z: 239
[18:37:27] junt.c:70> t: 1586264839530, x: -2, y: 656, z: 555
[18:37:27] junt.c:70> t: 1586264839651, x: 15, y: 26, z: -104
[18:37:27] junt.c:70> t: 1586264839771, x: 2287, y: 261, z: 23
[18:37:27] junt.c:70> t: 1586264839889, x: 1744, y: -31, z: 432
[18:37:27] junt.c:70> t: 1586264840010, x: 193, y: -59, z: -180
[18:37:27] junt.c:70> t: 1586264840131, x: 834, y: -218, z: -49
[18:37:27] junt.c:70> t: 1586264840253, x: 1186, y: 812, z: 71
[18:37:30] junt.c:70> t: 1586264840374, x: 401, y: 1979, z: 598
[18:37:30] junt.c:70> t: 1586264840495, x: 19, y: -331, z: -222
[18:37:30] junt.c:70> t: 1586264840616, x: 2891, y: -845, z: 109
[18:37:30] junt.c:70> t: 1586264840733, x: 1799, y: -8, z: 504
[18:37:30] junt.c:70> t: 1586264840854, x: -52, y: -412, z: -58
[18:37:30] junt.c:70> t: 1586264840975, x: 260, y: 3598, z: 1046
[18:37:30] junt.c:70> t: 1586264841096, x: 1562, y: 793, z: 166
[18:37:30] junt.c:70> t: 1586264841217, x: 379, y: -1, z: 204
[18:37:32] junt.c:70> t: 1586264841338, x: -57, y: 335, z: 168
[18:37:32] junt.c:70> t: 1586264841460, x: 415, y: -993, z: 350
[18:37:32] junt.c:70> t: 1586264841581, x: 1943, y: 246, z: 403
[18:37:32] junt.c:70> t: 1586264841702, x: 322, y: 366, z: 83
[18:37:32] junt.c:70> t: 1586264841823, x: -204, y: 1098, z: -355
[18:37:32] junt.c:70> t: 1586264841940, x: 1910, y: 542, z: 149
[18:37:32] junt.c:70> t: 1586264842061, x: 994, y: -204, z: 74
[18:37:32] junt.c:70> t: 1586264842182, x: -161, y: -157, z: 153
[18:37:34] junt.c:70> t: 1586264842302, x: 1023, y: -1893, z: 364
[18:37:34] junt.c:70> t: 1586264842424, x: 1571, y: 581, z: 541
