
[18:42:06] junt.c:70> t: 1586265125967, x: 981, y: -150, z: 114
[18:42:06] junt.c:70> t: 1586265126088, x: 978, y: -146, z: 118
[18:42:06] junt.c:70> t: 1586265126210, x: 978, y: -145, z: 119
[18:42:06] junt.c:70> t: 1586265126328, x: 977, y: -151, z: 115
[18:42:07] junt.c:70> t: 1586265126449, x: 976, y: -148, z: 115
[18:42:07] junt.c:70> t: 1586265126570, x: 981, y: -151, z: 114
[18:42:07] junt.c:70> t: 1586265126691, x: 978, y: -150, z: 111
[18:42:07] junt.c:70> t: 1586265126812, x: 976, y: -151, z: 118
[18:42:07] junt.c:70> t: 1586265126933, x: 978, y: -149, z: 117
[18:42:07] junt.c:70> t: 1586265127054, x: 983, y: -146, z: 119
[18:42:07] junt.c:70> t: 1586265127175, x: 982, y: -149, z: 122
[18:42:07] junt.c:70> t: 1586265127293, x: 978, y: -149, z: 113
[18:42:07] junt.c:70> t: 1586265127414, x: 979, y: -153, z: 123
[18:42:08] junt.c:70> t: 1586265127535, x: 982, y: -149, z: 116
[18:42:08] junt.c:70> t: 1586265127656, x: 984, y: -144, z: 115
[18:42:08] junt.c:70> t: 1586265127777, x: 968, y: -145, z: 98
[18:42:08] junt.c:70> t: 1586265127898, x: 982, y: -147, z: 106
[18:42:08] junt.c:70> t: 1586265128019, x: 1006, y: -150, z: 136
[18:42:08] junt.c:70> t: 1586265128140, x: 955, y: -67, z: 172
[18:42:09] junt.c:70> t: 1586265128261, x: 942, y: -121, z: 180
[18:42:09] junt.c:70> t: 1586265128378, x: 955, y: -310, z: 223
[18:42:09] junt.c:70> t: 1586265128500, x: 822, y: -63, z: 173
[18:42:09] junt.c:70> t: 1586265128621, x: 913, y: -147, z: 326
[18:42:09] junt.c:70> t: 1586265128742, x: 949, y: -111, z: 285
[18:42:09] junt.c:70> t: 1586265128863, x: 958, y: -91, z: 224
[18:42:09] junt.c:70> t: 1586265128984, x: 973, y: -72, z: 233
[18:42:09] junt.c:70> t: 1586265129105, x: 985, y: -53, z: 213
[18:42:09] junt.c:70> t: 1586265129226, x: 971, y: -54, z: 193
[18:42:10] junt.c:70> t: 1586265129347, x: 989, y: -9, z: 196
[18:42:10] junt.c:70> t: 1586265129464, x: 973, y: -53, z: 188
[18:42:10] junt.c:70> t: 1586265129588, x: 969, y: -28, z: 213
[18:42:10] junt.c:70> t: 1586265129707, x: 970, y: 8, z: 196
[18:42:10] junt.c:70> t: 1586265129828, x: 991, y: 28, z: 212
[18:42:10] junt.c:70> t: 1586265129949, x: 1095, y: 61, z: 220
[18:42:10] junt.c:70> t: 1586265130070, x: 1038, y: 136, z: 107
[18:42:10] junt.c:70> t: 1586265130191, x: 885, y: 293, z: 160
[18:42:10] junt.c:70> t: 1586265130312, x: 806, y: -196, z: -183
[18:42:11] junt.c:70> t: 1586265130433, x: 1123, y: 72, z: -257
[18:42:11] junt.c:70> t: 1586265130550, x: 1073, y: -1, z: -126
[18:42:11] junt.c:70> t: 1586265130671, x: 948, y: 301, z: 89
[18:42:11] junt.c:70> t: 1586265130793, x: 1217, y: -78, z: 49
[18:42:11] junt.c:70> t: 1586265130914, x: 970, y: -109, z: 141
