20 JUMPS REGULAR
[16:38:19] junt.c:146> t: 1586516897527, x: 946, y: 233, z: 196
[16:38:19] junt.c:146> t: 1586516897647, x: 949, y: 231, z: 195
[16:38:19] junt.c:146> t: 1586516897767, x: 951, y: 226, z: 202
[16:38:19] junt.c:146> t: 1586516897887, x: 947, y: 229, z: 194
[16:38:19] junt.c:146> t: 1586516898007, x: 945, y: 233, z: 191
[16:38:19] junt.c:146> t: 1586516898127, x: 951, y: 235, z: 194
[16:38:19] junt.c:146> t: 1586516898247, x: 948, y: 236, z: 192
[16:38:19] junt.c:146> t: 1586516898367, x: 790, y: 820, z: -420
[16:38:19] junt.c:146> t: 1586516898489, x: 785, y: 868, z: -368
[16:38:19] junt.c:146> t: 1586516898610, x: 946, y: 208, z: 189
[16:38:19] junt.c:146> t: 1586516898731, x: 945, y: 231, z: 193
[16:38:19] junt.c:146> t: 1586516898852, x: 947, y: 229, z: 187
[16:38:19] junt.c:146> t: 1586516898973, x: 954, y: 231, z: 196
[16:38:19] junt.c:146> t: 1586516899090, x: 945, y: 229, z: 196
[16:38:19] junt.c:146> t: 1586516899211, x: 946, y: 229, z: 197
[16:38:20] junt.c:146> t: 1586516899333, x: 948, y: 226, z: 187
[16:38:20] junt.c:146> t: 1586516899454, x: 947, y: 225, z: 195
[16:38:20] junt.c:146> t: 1586516899574, x: 946, y: 228, z: 197
[16:38:20] junt.c:146> t: 1586516899696, x: 949, y: 228, z: 194
[16:38:20] junt.c:146> t: 1586516899817, x: 950, y: 221, z: 195
[16:38:20] junt.c:146> t: 1586516899938, x: 946, y: 229, z: 192
[16:38:20] junt.c:146> t: 1586516900059, x: 950, y: 230, z: 205
[16:38:20] junt.c:146> t: 1586516900179, x: 952, y: 230, z: 197
[16:38:21] junt.c:146> t: 1586516900301, x: 941, y: 229, z: 198
[16:38:21] junt.c:146> t: 1586516900418, x: 947, y: 225, z: 206
[16:38:21] junt.c:146> t: 1586516900543, x: 946, y: 226, z: 203
[16:38:21] junt.c:146> t: 1586516900661, x: 945, y: 228, z: 201
[16:38:21] junt.c:146> t: 1586516900782, x: 951, y: 234, z: 183
[16:38:21] junt.c:146> t: 1586516900903, x: 966, y: 229, z: 192
[16:38:21] junt.c:146> t: 1586516901024, x: 935, y: 222, z: 181
[16:38:21] junt.c:146> t: 1586516901145, x: 982, y: 215, z: 186
[16:38:22] junt.c:146> t: 1586516901266, x: 1000, y: 205, z: 217
[16:38:22] junt.c:146> t: 1586516901387, x: 912, y: 263, z: 213
[16:38:22] junt.c:146> t: 1586516901508, x: 848, y: 237, z: 392
[16:38:22] junt.c:146> t: 1586516901629, x: 899, y: 341, z: 131
[16:38:22] junt.c:146> t: 1586516901749, x: 743, y: 175, z: 78
[16:38:22] junt.c:146> t: 1586516901872, x: 1096, y: -19, z: 579
[16:38:22] junt.c:146> t: 1586516901989, x: 1183, y: 362, z: 373
[16:38:22] junt.c:146> t: 1586516902110, x: 918, y: 349, z: 309
[16:38:22] junt.c:146> t: 1586516902234, x: 921, y: 309, z: 270
[16:38:23] junt.c:146> t: 1586516902352, x: 920, y: 350, z: 154
[16:38:23] junt.c:146> t: 1586516902473, x: 911, y: 253, z: 273
[16:38:23] junt.c:146> t: 1586516902594, x: 923, y: 213, z: 199
[16:38:23] junt.c:146> t: 1586516902715, x: 954, y: 317, z: 126
[16:38:23] junt.c:146> t: 1586516902836, x: 1140, y: 568, z: -910
[16:38:23] junt.c:146> t: 1586516902958, x: 767, y: 449, z: -79
[16:38:23] junt.c:146> t: 1586516903079, x: 1128, y: 2, z: -77
[16:38:23] junt.c:146> t: 1586516903200, x: 958, y: 574, z: 588
[16:38:24] junt.c:146> t: 1586516903321, x: 604, y: 798, z: 474
[16:38:24] junt.c:146> t: 1586516903442, x: 255, y: 976, z: 196
[16:38:24] junt.c:146> t: 1586516903559, x: 183, y: 927, z: 249
[16:38:24] junt.c:146> t: 1586516903684, x: 295, y: 1027, z: 313
[16:38:24] junt.c:146> t: 1586516903801, x: 284, y: 687, z: 56
[16:38:24] junt.c:146> t: 1586516903922, x: 508, y: 79, z: -54
[16:38:24] junt.c:146> t: 1586516904043, x: 450, y: 198, z: -23
[16:38:24] junt.c:146> t: 1586516904165, x: 875, y: 588, z: 296
[16:38:25] junt.c:146> t: 1586516904286, x: 1371, y: 283, z: 254
[16:38:25] junt.c:146> t: 1586516904407, x: 1197, y: -49, z: 103
[16:38:25] junt.c:146> t: 1586516904528, x: 1059, y: -23, z: 172
[16:38:25] junt.c:146> t: 1586516904649, x: 1042, y: -444, z: -111
[16:38:25] junt.c:146> t: 1586516904770, x: 1040, y: -6, z: 207
[16:38:25] junt.c:146> t: 1586516904891, x: 977, y: 16, z: 118
[16:38:25] junt.c:146> t: 1586516905012, x: 1004, y: 55, z: 130
[16:38:25] junt.c:146> t: 1586516905129, x: 1026, y: 68, z: 203
[16:38:25] junt.c:146> t: 1586516905250, x: 997, y: 48, z: 193
[16:38:26] junt.c:146> t: 1586516905372, x: 900, y: 73, z: 156
[16:38:26] junt.c:146> t: 1586516905493, x: 934, y: 190, z: 231
[16:38:26] junt.c:146> t: 1586516905614, x: 904, y: 288, z: 224
[16:38:26] junt.c:146> t: 1586516905735, x: 1073, y: 218, z: 179
[16:38:26] junt.c:146> t: 1586516905856, x: 1355, y: 4, z: 345
[16:38:26] junt.c:146> t: 1586516905977, x: 1023, y: 203, z: 292
[16:38:26] junt.c:146> t: 1586516906098, x: 642, y: -43, z: 45
[16:38:26] junt.c:146> t: 1586516906219, x: 1035, y: 164, z: 183
[16:38:27] junt.c:146> t: 1586516906340, x: 1245, y: 216, z: 534
[16:38:27] junt.c:146> t: 1586516906461, x: 1098, y: 352, z: 389
[16:38:27] junt.c:146> t: 1586516906579, x: 842, y: 287, z: 467
[16:38:27] junt.c:146> t: 1586516906700, x: 691, y: -376, z: 205
[16:38:27] junt.c:146> t: 1586516906821, x: 991, y: 119, z: -177
[16:38:27] junt.c:146> t: 1586516906942, x: 991, y: -36, z: 94
[16:38:27] junt.c:146> t: 1586516907063, x: 991, y: -6, z: 152
[16:38:27] junt.c:146> t: 1586516907184, x: 971, y: -40, z: 192
[16:38:28] junt.c:146> t: 1586516907305, x: 982, y: 24, z: 210
