[17:34:14] junt.c:77> Done initializing, pushed window: 0x20018c34
[17:34:14] junt.c:66> t: 1586088254388, x: 975, y: 31, z: 208
[17:34:14] junt.c:66> t: 1586088254508, x: 974, y: 30, z: 206
[17:34:14] junt.c:66> t: 1586088254628, x: 972, y: 35, z: 206
[17:34:14] junt.c:66> t: 1586088254748, x: 1059, y: -1100, z: -365
[17:34:15] junt.c:66> t: 1586088254872, x: 1009, y: -644, z: -438
[17:34:15] junt.c:66> t: 1586088254993, x: 987, y: -15, z: 170
[17:34:15] junt.c:66> t: 1586088255114, x: 975, y: 35, z: 206
[17:34:15] junt.c:66> t: 1586088255231, x: 974, y: 30, z: 207
[17:34:15] junt.c:66> t: 1586088255352, x: 971, y: 33, z: 207
[17:34:15] junt.c:66> t: 1586088255477, x: 976, y: 41, z: 201
[17:34:15] junt.c:66> t: 1586088255594, x: 972, y: 36, z: 203
[17:34:15] junt.c:66> t: 1586088255715, x: 971, y: 35, z: 205
[17:34:15] junt.c:66> t: 1586088255836, x: 974, y: 33, z: 202
[17:34:16] junt.c:66> t: 1586088255958, x: 975, y: 27, z: 207
[17:34:16] junt.c:66> t: 1586088256079, x: 970, y: 27, z: 208
[17:34:16] junt.c:66> t: 1586088256200, x: 975, y: 25, z: 204
[17:34:16] junt.c:66> t: 1586088256321, x: 969, y: 23, z: 217
[17:34:16] junt.c:66> t: 1586088256442, x: 968, y: 21, z: 211
[17:34:16] junt.c:66> t: 1586088256563, x: 976, y: 27, z: 211
[17:34:16] junt.c:66> t: 1586088256684, x: 978, y: 32, z: 200
[17:34:16] junt.c:66> t: 1586088256805, x: 975, y: 32, z: 202
[17:34:17] junt.c:66> t: 1586088256926, x: 977, y: 24, z: 206
[17:34:17] junt.c:66> t: 1586088257047, x: 992, y: 25, z: 209
[17:34:17] junt.c:66> t: 1586088257168, x: 985, y: 3, z: 211
[17:34:17] junt.c:66> t: 1586088257290, x: 941, y: 51, z: 227
[17:34:17] junt.c:66> t: 1586088257411, x: 947, y: 76, z: 334
[17:34:17] junt.c:66> t: 1586088257532, x: 911, y: 11, z: 292
[17:34:17] junt.c:66> t: 1586088257653, x: 860, y: -26, z: 241
[17:34:18] junt.c:66> t: 1586088257774, x: 1125, y: 184, z: 437
[17:34:18] junt.c:66> t: 1586088257891, x: 900, y: 61, z: 324
[17:34:18] junt.c:66> t: 1586088258012, x: 937, y: 96, z: 268
[17:34:18] junt.c:66> t: 1586088258133, x: 818, y: 32, z: 370
[17:34:18] junt.c:66> t: 1586088258254, x: 910, y: -10, z: 399
[17:34:18] junt.c:66> t: 1586088258375, x: 934, y: 43, z: 372
[17:34:18] junt.c:66> t: 1586088258497, x: 945, y: 40, z: 371
[17:34:18] junt.c:66> t: 1586088258618, x: 951, y: 22, z: 372
[17:34:18] junt.c:66> t: 1586088258739, x: 966, y: 26, z: 293
[17:34:19] junt.c:66> t: 1586088258860, x: 1010, y: -36, z: 218
[17:34:19] junt.c:66> t: 1586088258981, x: 946, y: -22, z: 195
[17:34:19] junt.c:66> t: 1586088259102, x: 875, y: -302, z: -28
[17:34:19] junt.c:66> t: 1586088259223, x: 1020, y: -3, z: 129
[17:34:19] junt.c:66> t: 1586088259344, x: 930, y: -167, z: 216
[17:34:19] junt.c:66> t: 1586088259465, x: 902, y: -224, z: 56
[17:34:19] junt.c:66> t: 1586088259586, x: 951, y: -331, z: 122
[17:34:19] junt.c:66> t: 1586088259708, x: 935, y: -306, z: 148
[17:34:19] junt.c:66> t: 1586088259829, x: 948, y: -261, z: 181
[17:34:20] junt.c:66> t: 1586088259950, x: 945, y: -235, z: 160
[17:34:20] junt.c:66> t: 1586088260071, x: 947, y: -286, z: 184
[17:34:20] junt.c:66> t: 1586088260188, x: 956, y: -189, z: 194
[17:34:20] junt.c:66> t: 1586088260309, x: 960, y: -129, z: 180
[17:34:20] junt.c:66> t: 1586088260430, x: 959, y: -126, z: 188
[17:34:20] junt.c:66> t: 1586088260551, x: 963, y: -81, z: 153
[17:34:20] junt.c:66> t: 1586088260672, x: 968, y: -92, z: 163
[17:34:20] junt.c:66> t: 1586088260793, x: 982, y: -87, z: 175
[17:34:21] junt.c:66> t: 1586088260915, x: 972, y: -99, z: 193
[17:34:21] junt.c:66> t: 1586088261036, x: 971, y: -86, z: 180
[17:34:21] junt.c:66> t: 1586088261157, x: 982, y: -109, z: 186
[17:34:21] junt.c:66> t: 1586088261278, x: 982, y: -59, z: 181
[17:34:21] junt.c:66> t: 1586088261399, x: 980, y: -53, z: 179
[17:34:21] junt.c:66> t: 1586088261520, x: 978, y: -48, z: 206
