[15:57:23] junt.c:66> t: 1586082442953, x: -4, y: 119, z: -974
[15:57:23] junt.c:66> t: 1586082443073, x: 51, y: 34, z: -1002
[15:57:23] junt.c:66> t: 1586082443193, x: 31, y: 129, z: -981
[15:57:23] junt.c:66> t: 1586082443313, x: 20, y: 116, z: -953
[15:57:23] junt.c:66> t: 1586082443433, x: -98, y: 202, z: -980
[15:57:23] junt.c:66> t: 1586082443553, x: -34, y: 202, z: -924
[15:57:23] junt.c:66> t: 1586082443675, x: 145, y: 303, z: -962
[15:57:23] junt.c:66> t: 1586082443796, x: 109, y: 349, z: -1034
[15:57:24] junt.c:66> t: 1586082443918, x: 62, y: 544, z: -976
[15:57:24] junt.c:66> t: 1586082444039, x: -11, y: 588, z: -929
[15:57:24] junt.c:66> t: 1586082444160, x: -107, y: 489, z: -919
[15:57:24] junt.c:66> t: 1586082444277, x: 131, y: 808, z: -746
[15:57:24] junt.c:66> t: 1586082444402, x: -391, y: 684, z: -445
[15:57:24] junt.c:66> t: 1586082444523, x: -245, y: 1224, z: -50
[15:57:24] junt.c:66> t: 1586082444644, x: -6, y: 1193, z: 22
[15:57:24] junt.c:66> t: 1586082444761, x: -115, y: 841, z: 241
[15:57:24] junt.c:66> t: 1586082444882, x: -348, y: 974, z: 166
[15:57:25] junt.c:66> t: 1586082445003, x: -503, y: 942, z: 201
[15:57:25] junt.c:66> t: 1586082445125, x: -529, y: 705, z: 88
[15:57:25] junt.c:66> t: 1586082445246, x: -802, y: 638, z: 73
[15:57:25] junt.c:66> t: 1586082445367, x: -933, y: 587, z: -55
[15:57:25] junt.c:66> t: 1586082445488, x: -930, y: 481, z: -53
[15:57:25] junt.c:66> t: 1586082445609, x: -909, y: 432, z: -60
[15:57:25] junt.c:66> t: 1586082445730, x: -890, y: 424, z: -110
[15:57:25] junt.c:66> t: 1586082445851, x: -856, y: 337, z: -9
[15:57:26] junt.c:66> t: 1586082445972, x: -943, y: 429, z: -8
[15:57:26] junt.c:66> t: 1586082446093, x: -873, y: 333, z: 154
[15:57:26] junt.c:66> t: 1586082446214, x: -870, y: 425, z: 99
[15:57:26] junt.c:66> t: 1586082446335, x: -892, y: 469, z: 128
[15:57:26] junt.c:66> t: 1586082446457, x: -897, y: 480, z: 127
[15:57:26] junt.c:66> t: 1586082446578, x: -879, y: 427, z: 151
[15:57:26] junt.c:66> t: 1586082446699, x: -885, y: 429, z: 142
[15:57:27] junt.c:66> t: 1586082446820, x: -895, y: 415, z: 136
[15:57:27] junt.c:66> t: 1586082446941, x: -889, y: 428, z: 131
[15:57:27] junt.c:66> t: 1586082447062, x: -885, y: 449, z: 125
[15:57:27] junt.c:66> t: 1586082447183, x: -878, y: 446, z: 146
[15:57:27] junt.c:66> t: 1586082447304, x: -876, y: 462, z: 137
[15:57:27] junt.c:66> t: 1586082447425, x: -874, y: 445, z: 144
[15:57:27] junt.c:66> t: 1586082447546, x: -877, y: 462, z: 142
[15:57:27] junt.c:66> t: 1586082447668, x: -872, y: 463, z: 166
[15:57:28] junt.c:66> t: 1586082447789, x: -877, y: 538, z: 194
[15:57:28] junt.c:66> t: 1586082447910, x: -877, y: 384, z: 245
[15:57:28] junt.c:66> t: 1586082448031, x: -695, y: 313, z: 162
[15:57:28] junt.c:66> t: 1586082448148, x: -1123, y: 915, z: -128
[15:57:28] junt.c:66> t: 1586082448269, x: -709, y: 1476, z: 1303
[15:57:28] junt.c:66> t: 1586082448394, x: -43, y: -661, z: 885
[15:57:29] junt.c:66> t: 1586082448515, x: -803, y: -1339, z: -357
[15:57:29] junt.c:66> t: 1586082448632, x: -875, y: 1643, z: 882
[15:57:29] junt.c:66> t: 1586082448756, x: -1187, y: 1377, z: 2721
[15:57:29] junt.c:66> t: 1586082448875, x: 200, y: -773, z: 726
[15:57:29] junt.c:66> t: 1586082448996, x: -1045, y: 713, z: 20
[15:57:29] junt.c:66> t: 1586082449117, x: 150, y: 2751, z: 1381
[15:57:29] junt.c:66> t: 1586082449238, x: 23, y: 479, z: 984
[15:57:29] junt.c:66> t: 1586082449359, x: -1113, y: -1788, z: 1352
[15:57:29] junt.c:66> t: 1586082449480, x: -288, y: 1698, z: 269
[15:57:29] junt.c:66> t: 1586082449601, x: -1235, y: 960, z: 3467
[15:57:30] junt.c:66> t: 1586082449722, x: -102, y: -255, z: 388
[15:57:30] junt.c:66> t: 1586082449843, x: -1098, y: 416, z: -519
[15:57:30] junt.c:66> t: 1586082449964, x: -577, y: 1902, z: 1345
[15:57:30] junt.c:66> t: 1586082450085, x: -622, y: 673, z: 1743
[15:57:30] junt.c:66> t: 1586082450207, x: -150, y: -782, z: 529
[15:57:31] junt.c:66> t: 1586082450328, x: -861, y: 305, z: -666
[15:57:31] junt.c:66> t: 1586082450449, x: -180, y: 3102, z: 726
[15:57:31] junt.c:66> t: 1586082450570, x: -387, y: 351, z: 726
[15:57:31] junt.c:66> t: 1586082450691, x: -1128, y: -1842, z: 562
[15:57:31] junt.c:66> t: 1586082450812, x: -596, y: 862, z: -571
[15:57:31] junt.c:66> t: 1586082450933, x: -1612, y: 1130, z: 3189
[15:57:31] junt.c:66> t: 1586082451054, x: -63, y: -113, z: 66
[15:57:31] junt.c:66> t: 1586082451175, x: -873, y: 169, z: -709
[15:57:32] junt.c:66> t: 1586082451296, x: -255, y: 2463, z: 1332
[15:57:32] junt.c:66> t: 1586082451418, x: -893, y: 961, z: 1889
[15:57:32] junt.c:66> t: 1586082451539, x: -480, y: -1074, z: 669
[15:57:32] junt.c:66> t: 1586082451656, x: -191, y: 395, z: 93
[15:57:32] junt.c:66> t: 1586082451781, x: -1722, y: 1262, z: 3491
[15:57:32] junt.c:66> t: 1586082451902, x: -458, y: 370, z: 56
[15:57:32] junt.c:66> t: 1586082452023, x: -959, y: -12, z: 103
[15:57:32] junt.c:66> t: 1586082452140, x: 203, y: 2530, z: 1093
[15:57:33] junt.c:66> t: 1586082452264, x: -1597, y: 338, z: 2233
[15:57:33] junt.c:66> t: 1586082452382, x: -1351, y: 1446, z: -476
[15:57:33] junt.c:66> t: 1586082452503, x: 33, y: 690, z: 62
[15:57:33] junt.c:66> t: 1586082452625, x: -675, y: 289, z: 2172
[15:57:33] junt.c:66> t: 1586082452746, x: -1054, y: 1355, z: -514
[15:57:33] junt.c:66> t: 1586082452867, x: -1090, y: 829, z: -1117
[15:57:33] junt.c:66> t: 1586082452988, x: -304, y: 1488, z: 910
[15:57:33] junt.c:66> t: 1586082453109, x: -755, y: 328, z: 1169
[15:57:34] junt.c:66> t: 1586082453230, x: -1321, y: -73, z: -358
[15:57:34] junt.c:66> t: 1586082453351, x: 1058, y: 1994, z: 1113
[15:57:34] junt.c:66> t: 1586082453472, x: -512, y: -364, z: 1225
[15:57:34] junt.c:66> t: 1586082453593, x: -2599, y: -197, z: 130
[15:57:34] junt.c:66> t: 1586082453714, x: 467, y: 2206, z: 994
[15:57:34] junt.c:66> t: 1586082453835, x: -227, y: -3, z: 1416
[15:57:34] junt.c:66> t: 1586082453957, x: -788, y: 348, z: 208
[15:57:34] junt.c:66> t: 1586082454078, x: -1667, y: 1332, z: 30
[15:57:35] junt.c:66> t: 1586082454199, x: 415, y: 1005, z: 150
[15:57:35] junt.c:66> t: 1586082454320, x: -336, y: -334, z: 43
[15:57:35] junt.c:66> t: 1586082454441, x: -365, y: 1254, z: 170
[15:57:35] junt.c:66> t: 1586082454562, x: -349, y: 1763, z: 1624
[15:57:35] junt.c:66> t: 1586082454683, x: 101, y: 633, z: -145
[15:57:35] junt.c:66> t: 1586082454804, x: -1285, y: -271, z: -327
[15:57:35] junt.c:66> t: 1586082454925, x: -1437, y: 2576, z: -654
[15:57:35] junt.c:66> t: 1586082455046, x: -416, y: 2245, z: 604
[15:57:36] junt.c:66> t: 1586082455168, x: 531, y: 656, z: -713
[15:57:36] junt.c:66> t: 1586082455289, x: 165, y: 310, z: -642
[15:57:36] junt.c:66> t: 1586082455410, x: -220, y: 3999, z: 395
[15:57:36] junt.c:66> t: 1586082455531, x: -242, y: 1055, z: -817
[15:57:36] junt.c:66> t: 1586082455652, x: -1291, y: -6, z: 62
[15:57:36] junt.c:66> t: 1586082455773, x: 1052, y: 2490, z: 463
[15:57:37] junt.c:66> t: 1586082455894, x: -964, y: 1564, z: 887
[15:57:37] junt.c:66> t: 1586082456011, x: -306, y: -1354, z: -860
[15:57:37] junt.c:66> t: 1586082456136, x: 997, y: 2876, z: 572
[15:57:37] junt.c:66> t: 1586082456257, x: -718, y: 123, z: 995
[15:57:37] junt.c:66> t: 1586082456375, x: -1648, y: 1424, z: -25
[15:57:37] junt.c:66> t: 1586082456496, x: 1308, y: 1869, z: 401
[15:57:37] junt.c:66> t: 1586082456617, x: -820, y: -529, z: 871
[15:57:37] junt.c:66> t: 1586082456738, x: -225, y: -405, z: -594
[15:57:37] junt.c:66> t: 1586082456859, x: -561, y: 2532, z: 953
[15:57:38] junt.c:66> t: 1586082456980, x: 27, y: 352, z: 545
[15:57:38] junt.c:66> t: 1586082457101, x: -739, y: -485, z: -28
[15:57:38] junt.c:66> t: 1586082457222, x: 36, y: 1275, z: 639
[15:57:38] junt.c:66> t: 1586082457343, x: -698, y: 2566, z: 182
[15:57:38] junt.c:66> t: 1586082457464, x: -114, y: 524, z: 72
[15:57:38] junt.c:66> t: 1586082457585, x: -625, y: 512, z: 4
[15:57:38] junt.c:66> t: 1586082457707, x: -603, y: 901, z: -84
[15:57:38] junt.c:66> t: 1586082457828, x: -306, y: 993, z: -281
[15:57:38] junt.c:66> t: 1586082457949, x: -621, y: 980, z: -1
[15:57:38] junt.c:66> t: 1586082458070, x: -435, y: 810, z: -84
[15:57:39] junt.c:66> t: 1586082458191, x: -502, y: 934, z: -62
[15:57:39] junt.c:66> t: 1586082458312, x: -475, y: 892, z: -130
[15:57:39] junt.c:66> t: 1586082458433, x: -440, y: 861, z: -111
[15:57:39] junt.c:66> t: 1586082458554, x: -476, y: 894, z: -76
[15:57:39] junt.c:66> t: 1586082458675, x: -449, y: 850, z: -78
[15:57:39] junt.c:66> t: 1586082458796, x: -489, y: 872, z: -98
[15:57:39] junt.c:66> t: 1586082458918, x: -466, y: 856, z: -127
[15:57:39] junt.c:66> t: 1586082459039, x: -494, y: 872, z: -95
[15:57:40] junt.c:66> t: 1586082459160, x: -484, y: 860, z: -86
[15:57:40] junt.c:66> t: 1586082459281, x: -486, y: 841, z: -119
[15:57:40] junt.c:66> t: 1586082459402, x: -503, y: 866, z: -117
[15:57:40] junt.c:66> t: 1586082459523, x: -496, y: 843, z: -119
[15:57:40] junt.c:66> t: 1586082459643, x: -493, y: 854, z: -111
[15:57:40] junt.c:66> t: 1586082459765, x: -496, y: 862, z: -122
[15:57:40] junt.c:66> t: 1586082459882, x: -488, y: 850, z: -113
[15:57:40] junt.c:66> t: 1586082460006, x: -494, y: 860, z: -109
[15:57:41] junt.c:66> t: 1586082460127, x: -487, y: 836, z: -101
[15:57:41] junt.c:66> t: 1586082460250, x: -498, y: 864, z: -109
[15:57:41] junt.c:66> t: 1586082460367, x: -491, y: 860, z: -119
[15:57:41] junt.c:66> t: 1586082460488, x: -502, y: 860, z: -112
[15:57:41] junt.c:66> t: 1586082460609, x: -486, y: 847, z: -115
[15:57:41] junt.c:66> t: 1586082460730, x: -496, y: 852, z: -128
[15:57:42] junt.c:66> t: 1586082460851, x: -515, y: 839, z: -127
[15:57:42] junt.c:66> t: 1586082460971, x: -524, y: 836, z: -88
[15:57:42] junt.c:66> t: 1586082461092, x: -523, y: 831, z: -102
[15:57:42] junt.c:66> t: 1586082461214, x: -513, y: 864, z: -68
[15:57:42] junt.c:66> t: 1586082461335, x: -481, y: 989, z: -88
[15:57:42] junt.c:66> t: 1586082461456, x: -452, y: 974, z: -145
[15:57:42] junt.c:66> t: 1586082461578, x: -476, y: 887, z: -272
[15:57:42] junt.c:66> t: 1586082461699, x: -471, y: 798, z: -404
[15:57:42] junt.c:66> t: 1586082461820, x: -409, y: 696, z: -461
[15:57:42] junt.c:66> t: 1586082461941, x: -422, y: 523, z: -596
[15:57:42] junt.c:66> t: 1586082462061, x: -424, y: 490, z: -761
[15:57:43] junt.c:66> t: 1586082462183, x: -405, y: 405, z: -869
[15:57:43] junt.c:66> t: 1586082462304, x: -293, y: 271, z: -882
[15:57:43] junt.c:66> t: 1586082462425, x: -227, y: 302, z: -890
[15:57:43] junt.c:66> t: 1586082462546, x: -213, y: 287, z: -934
[15:57:43] junt.c:66> t: 1586082462668, x: -254, y: 289, z: -947
[15:57:43] junt.c:66> t: 1586082462789, x: -206, y: 302, z: -882
[15:57:43] junt.c:66> t: 1586082462910, x: -258, y: 227, z: -888
[15:57:43] junt.c:66> t: 1586082463031, x: -334, y: 331, z: -963
[15:57:44] junt.c:66> t: 1586082463151, x: -411, y: 290, z: -922
[15:57:44] junt.c:66> t: 1586082463273, x: -474, y: 139, z: -934
